page,rank
272919,6531.324623752443
438238,4335.32315856446
571448,2383.8976074118887
601656,2195.3940755967396
316792,1855.6908757901597
319209,1632.8193684975727
184094,1532.284237448343
571447,1492.9301630938821
401873,1436.1600933469235
66244,1261.5783958673262
68949,1260.7919421349056
284306,1257.247565064485
68948,1251.1723536459149
68946,1235.298540597618
86238,1235.298540597618
96070,1235.298540597618
68947,1235.2985405976176
86239,1235.2985405976176
95551,1235.2985405976176
66909,1235.298540597617
86237,1235.298540597617
77284,1235.2985405976158
95552,1235.2985405976158
768,1225.5975665113071
927,1117.8383051141861
210376,920.6701252803689
95527,919.6797146521039
100130,916.0190658202638
101163,912.5380530105897
95018,911.1831080077939
100646,909.7095673032965
96045,904.3981315809699
66879,895.7909746044714
210305,893.0386730972419
319412,887.9352083382666
571451,875.785254625559
570985,871.5825582573182
544858,869.609656814822
184142,863.23077818418
299039,832.3149809807293
49176,819.8687801616504
299040,784.9195782082289
319210,764.442928296984
184332,748.110096677119
184279,743.4092370378022
743,694.5573570089973
313077,681.9298001499124
331840,665.4905257656994
33,660.9927237591659
184150,649.4401909507066
