page,rank
272919,6574.464531548971
438238,5198.597378987966
210376,3509.9773383040733
210305,3451.7289625908475
601656,2565.3956323009693
571448,2405.032302129603
316792,1868.6901991805653
319209,1643.2931072387914
184094,1621.6664003492992
401873,1570.8662408112723
571447,1506.1016716563852
66244,1269.072701797182
68949,1268.2816026570379
284306,1264.3770733652336
768,1261.5637973068933
68948,1258.6051904264193
86238,1242.6375974241867
66909,1242.6375974241864
95552,1242.6375974241864
68946,1242.6375974241864
68947,1242.6375974241864
77284,1242.6375974241864
86237,1242.6375974241864
86239,1242.6375974241864
95551,1242.6375974241864
96070,1242.6375974241864
927,1151.4081822627234
210983,999.3780718268744
254888,998.5830264321115
544858,957.1224172008441
95527,925.1400254943006
100130,921.4577913920541
101163,917.9562572986678
95018,916.5933242821669
100646,915.1110961755144
96045,909.768344527315
66879,901.0881857358664
184142,894.4558842987622
319412,893.2544497052485
571451,883.7909952283682
570985,879.5424154300348
299039,836.9786343673591
210938,831.5755943553473
49176,827.069509665194
211016,810.5984153584517
210320,808.6629593389341
210856,801.6502396541351
210380,797.0145795498605
210951,796.5658316580365
211013,790.092847001316
